mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,signal_m66_counts,signal_m78_counts,signal_m80_counts
74.4375,1152124.0,1154227.065847821,48523718.50867512,0.8361358207042725,618.1079390889714,85.00667081362235
75.0625,1152628.0,1156583.9309624478,44264547.164355196,0.25304638221580217,916.5645518446219,158.4986007956582
75.6875,1154382.0,1158193.8090350474,39736847.202977754,0.07031262367692791,1259.9618490166176,274.4003861400177
76.3124999999999,1160070.0,1159110.5185074073,35106487.15349977,0.017937989156728035,1605.6387552027518,441.0945272079597
76.9375,1157762.0,1159383.5800089457,30522414.456559878,0.004201639451968346,1896.8578429770946,658.3653818386952
77.5624999999999,1160222.0,1159058.1494819536,26111205.591485534,0.000903577799606923,2077.3921629606843,912.4125794483543
78.1875,1155707.0,1158175.0775628742,21973845.08266098,0.00017840668675075453,2109.109367629515,1174.0997298352106
78.8125,1157591.0,1156771.0762409433,18184578.635724515,3.234092648312336e-05,1985.073739032197,1402.8412743991712
79.4375,1154886.0,1154878.960216901,14791559.398648387,5.382530515623224e-06,1732.0125001612528,1556.3317317678584
80.0625,1152871.0,1152527.9528452666,11818923.00955231,8.22450344572346e-07,1400.9480031365197,1603.1939128922472
80.6875,1151691.0,1149744.0262155905,9269890.325687379,1.1537763655614564e-07,1050.4836294511128,1533.4168407871034
81.3125,1148615.0,1146550.2664340388,7130503.056081268,1.4860178252979647e-08,730.2177419890184,1361.8354199190444
81.9375,1145357.0,1142967.24482149,5373629.523806533,1.7566527314933676e-09,470.5553502405682,1122.998220216831
82.5625,1138848.0,1139013.3829477176,3962928.8315886254,1.9031990590394014e-10,281.1017831940675,859.8511314042527
83.1875,1134416.0,1134705.303566085,2856530.7211272507,1.9031990590394016e-11,155.67190041169104,611.3034177692541
83.8125,1130072.0,1130058.1592364686,2010257.467056892,1.9031990590394015e-12,79.9189326020228,403.53316226648866
84.4375,1125890.0,1125085.9295439934,1380280.448992912,0.0,38.034780329846534,247.33744607283072
85.0625,1120256.0,1119801.6883513452,925168.2966596644,0.0,16.78041901645542,140.76284193114606
85.6875,1116064.0,1114217.8359983696,607331.4814920616,0.0,6.863001571579891,74.38285919079593
86.3125,1109047.0,1108346.2952332417,393909.0159314171,0.0,2.6020369491769486,36.49584885922536
86.9375,1101944.0,1102198.672513572,257171.8117648522,0.0,0.9145331274693773,16.626422134880006
87.5625,1095054.0,1095786.3845021923,174531.64965107114,0.0,0.2979686058350265,7.032953463314887
88.1875,1088524.0,1089120.7569877903,128249.9685660266,0.0,0.08999637856685001,2.7622251378118277
88.8125,1083030.0,1082213.0900843265,104941.65834120245,0.0,0.02519772331782345,1.0073061399935908
89.4375,1075331.0,1075074.7004898505,94956.77888018505,0.0,0.00653999656106712,0.3410700375529561
90.0625,1066680.0,1067716.9401537846,91712.60992121139,0.0,0.0015735183470156444,0.10722692545738416
90.6875,1060542.0,1060151.198579914,91034.5702428994,0.0,0.0003509475581140277,0.031299742897540304
91.3124999999999,1053183.0,1052388.8853443735,90545.35023442315,0.0,7.255824262593184e-05,0.008483062695242356
91.9374999999999,1044231.0,1044441.4055239623,89132.56323990448,0.0,1.3906035995410591e-05,0.0021347049480043654
92.5625,1035791.0,1036320.1212135564,86506.4888857698,0.0,2.470527294308486e-06,0.0004987633390307716
93.1874999999999,1028929.0,1028036.3109969515,82854.16184815156,0.0,4.0685821973862356e-07,0.0001081983963187652
93.8125,1019866.0,1019601.123933697,78583.0686844308,0.0,6.211098934815388e-08,2.17928923002282e-05
94.4375,1013132.0,1011025.5323194953,74147.24006694814,0.0,8.789856147244596e-09,4.075441335031793e-06
95.0625,1000826.0,1002320.285971067,69939.5995638572,0.0,1.151154480822199e-09,7.076166489632014e-07
95.6875,994305.0,993495.8684672515,66238.63744387793,0.0,1.4121969467335526e-10,1.1407166104896722e-07
96.3125,983205.0,984562.4574560346,63193.39833257026,0.0,1.49778464047498e-11,1.7073710775359757e-08
96.9375,974848.0,975529.8893827719,60834.45824792105,0.0,2.1396923435356856e-12,2.3730786333961345e-09
97.5625,964624.0,966407.6295890623,59099.32744279595,0.0,0.0,3.064680279316831e-10
98.1875,956342.0,957204.7472954827,57864.44195964378,0.0,0.0,3.6055062109609776e-11
98.8125,947802.0,947929.90088859,56976.606459300005,0.0,0.0,4.916599378583152e-12
99.4375,939695.0,938591.3213213877,56279.84928448813,0.0,0.0,0.0
100.0625,930635.0,929196.8104424725,55635.74166744665,0.0,0.0,0.0
100.6875,919368.0,919753.737411465,54936.66441064009,0.0,0.0,0.0
101.3125,909959.0,910269.0453577858,54111.645129683144,0.0,0.0,0.0
