truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
gengamma,2021_10pct,7,210,6,9,1474.6827590391958,1527.0569178380376,52.37415879884179,0.0015270569178380375,False
gengamma,2021_10pct,7,230,6,9,1484.311877340413,1533.503328617785,49.191451277371925,0.001533503328617785,False
gengamma,2021_10pct,7,250,6,9,1481.8830920512312,1528.0098295030696,46.12673745183838,0.0015280098295030694,False
gengamma,2021_10pct,8,50,6,9,1639.1002506025263,1645.7274427605128,6.627192157986428,0.0016457274427605128,False
gengamma,2021_10pct,8,70,6,9,1586.4546184376493,1616.5896840185112,30.13506558086192,0.0016165896840185112,False
gengamma,2021_10pct,8,90,6,9,1555.2982639214324,1600.0442470749913,44.74598315355888,0.0016000442470749912,False
gengamma,2021_10pct,8,110,6,9,1528.7101483624883,1579.092861360437,50.3827129979486,0.0015790928613604368,False
gengamma,2021_10pct,8,130,6,9,1522.1082022046817,1574.0970817088728,51.98887950419112,0.0015740970817088727,False
gengamma,2021_10pct,8,150,6,9,1508.1204787688328,1561.4603031207423,53.339824351909556,0.0015614603031207422,False
gengamma,2021_10pct,8,170,6,9,1503.6148236559166,1556.5009733858928,52.886149729976296,0.0015565009733858929,False
gengamma,2021_10pct,8,190,6,9,1488.309531696133,1538.108542391289,49.79901069515586,0.0015381085423912888,False
gengamma,2021_10pct,8,210,6,9,1490.300122875483,1538.947973772281,48.64785089679799,0.001538947973772281,False
gengamma,2021_10pct,8,230,6,9,1478.5387176600068,1524.2866528312695,45.747935171262725,0.0015242866528312694,False
