dataset,mass_GeV,mass_MeV,eps2_observed_raw,p0_analytic,Z_analytic,eps2_observed_v3_review,dimuon_factor,eps2_observed_dimuon_v3_review
2016,0.148,148.0,4.31241515290308e-05,0.4999939126238955,1.52587890625e-05,4.31241515290308e-05,1.0,4.31241515290308e-05
2016,0.149,149.0,4.436585052642419e-05,0.5,0.0,4.436585052642419e-05,1.0,4.436585052642419e-05
2016,0.15,150.0,4.575978905736849e-05,0.5,0.0,4.575978905736849e-05,1.0,4.575978905736849e-05
2016,0.151,151.0,4.923550675942023e-05,0.5,0.0,4.923550675942023e-05,1.0,4.923550675942023e-05
2016,0.152,152.0,5.193803315704268e-05,0.5,0.0,5.193803315704268e-05,1.0,5.193803315704268e-05
2016,0.153,153.0,5.550791388194733e-05,0.4999939126238955,1.52587890625e-05,5.550791388194733e-05,1.0,5.550791388194733e-05
2016,0.154,154.0,6.0305734330557874e-05,0.4999925445173359,1.8688123647942943e-05,6.0305734330557874e-05,1.0,6.0305734330557874e-05
2016,0.155,155.0,6.786094263101071e-05,0.5,0.0,6.786094263101071e-05,1.0,6.786094263101071e-05
2016,0.156,156.0,7.607513954409096e-05,0.5,0.0,7.607513954409096e-05,1.0,7.607513954409096e-05
2016,0.157,157.0,8.644877754811798e-05,0.5,0.0,8.644877754811798e-05,1.0,8.644877754811798e-05
2016,0.158,158.0,9.808629677008768e-05,0.4421246746812742,0.1455845702375543,9.808629677008768e-05,1.0,9.808629677008768e-05
2016,0.159,159.0,0.0001211228872476,0.2605390252230009,0.6416845073894549,0.0001211228872476,1.0,0.0001211228872476
2016,0.16,160.0,0.0001345519996889,0.1973093059392674,0.8512713935166942,0.0001345519996889,1.0,0.0001345519996889
2016,0.161,161.0,0.0001390255016648,0.1955745773729098,0.8575352273952679,0.0001390255016648,1.0,0.0001390255016648
2016,0.162,162.0,0.0001455015894764,0.17397252785153,0.9385826664148438,0.0001455015894764,1.0,0.0001455015894764
2016,0.163,163.0,0.0001503912221963,0.1610208451528068,0.99027097322146,0.0001503912221963,1.0,0.0001503912221963
2016,0.164,164.0,0.0001911852031896,0.0858409741877589,1.3668193108064903,0.0001911852031896,1.0,0.0001911852031896
2016,0.165,165.0,0.0001930061127897,0.0849181078976812,1.372730268266533,0.0001930061127897,1.0,0.0001930061127897
2016,0.166,166.0,0.0001917369467377,0.1065423396567133,1.2451280651365362,0.0001917369467377,1.0,0.0001917369467377
2016,0.167,167.0,0.0001855338058336,0.1487859937004176,1.041654292498171,0.0001855338058336,1.0,0.0001855338058336
2016,0.168,168.0,0.0001851264400268,0.1550214297308277,1.0151321051565234,0.0001851264400268,1.0,0.0001851264400268
2016,0.169,169.0,0.000188626404184,0.1487698473786034,1.04172392203824,0.000188626404184,1.0,0.000188626404184
2016,0.17,170.0,0.0001877766550352,0.1833810162262611,0.9025551623577732,0.0001877766550352,1.0,0.0001877766550352
2016,0.171,171.0,0.0019794588343423,0.0010764554358515,3.0682851361279377,0.0001918965455817277,1.0,0.0001918965455817277
2016,0.172,172.0,0.0001961068280788,0.2532925523767643,0.6641643860173528,0.0001961068280788,1.0,0.0001961068280788
2016,0.173,173.0,0.0001973474474072,0.3178302638070164,0.4737747705345203,0.0001973474474072,1.0,0.0001973474474072
2016,0.174,174.0,0.0001870230063619,0.4344624959797967,0.1650241268047215,0.0001870230063619,1.0,0.0001870230063619
2016,0.175,175.0,0.0001736950416887,0.4999956955750768,1.0789593218788871e-05,0.0001736950416887,1.0,0.0001736950416887
2016,0.176,176.0,0.000181012484597,0.5,0.0,0.000181012484597,1.0,0.000181012484597
2016,0.177,177.0,0.0001802207769227,0.5,0.0,0.0001802207769227,1.0,0.0001802207769227
2016,0.178,178.0,0.0001696329902545,0.5,0.0,0.0001696329902545,1.0,0.0001696329902545
2016,0.179,179.0,0.0001566770335197,0.5,0.0,0.0001566770335197,1.0,0.0001566770335197
2016,0.18,180.0,0.0001430056868327,0.5,0.0,0.0001430056868327,1.0,0.0001430056868327
2021,0.05,50.0,,0.5,0.0,3.728277480841303e-05,1.0,3.728277480841303e-05
2021,0.051,51.0,,0.276677756805792,0.5927394828938312,7.078464553266381e-05,1.0,7.078464553266381e-05
2021,0.052,52.0,,0.0198131867925723,2.0576226196344094,7.983956645662537e-05,1.0,7.983956645662537e-05
2021,0.053,53.0,,0.0030697475925385,2.740236699367742,8.46154559189173e-05,1.0,8.46154559189173e-05
